review,rating,date,bank,source
maaliif daddafee install gaafata,3,2025-11-28 13:36:32,Commercial Bank of Ethiopia (CBE),Google Play
good app,5,2025-11-28 11:33:17,Commercial Bank of Ethiopia (CBE),Google Play
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27 23:08:20,Commercial Bank of Ethiopia (CBE),Google Play
why didn't work this app?,1,2025-11-27 22:40:35,Commercial Bank of Ethiopia (CBE),Google Play
The app makes our life easier. Thank you CBE!,5,2025-11-27 18:00:06,Commercial Bank of Ethiopia (CBE),Google Play
this app very bad 👎,1,2025-11-27 16:28:10,Commercial Bank of Ethiopia (CBE),Google Play
the most advanced app. but how to stay safe?,5,2025-11-27 10:03:41,Commercial Bank of Ethiopia (CBE),Google Play
Good application,4,2025-11-27 08:59:12,Commercial Bank of Ethiopia (CBE),Google Play
It is nice app,5,2025-11-26 12:03:18,Commercial Bank of Ethiopia (CBE),Google Play
best,5,2025-11-25 20:27:20,Commercial Bank of Ethiopia (CBE),Google Play
good app,5,2025-11-25 18:10:35,Commercial Bank of Ethiopia (CBE),Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25 17:14:22,Commercial Bank of Ethiopia (CBE),Google Play
nice app...,5,2025-11-25 10:24:19,Commercial Bank of Ethiopia (CBE),Google Play
very good banking service and fast service,5,2025-11-24 21:09:29,Commercial Bank of Ethiopia (CBE),Google Play
thanks blc this app help me to use all time,5,2025-11-24 14:36:07,Commercial Bank of Ethiopia (CBE),Google Play
good,5,2025-11-24 11:54:09,Commercial Bank of Ethiopia (CBE),Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-24 08:44:51,Commercial Bank of Ethiopia (CBE),Google Play
